صفق	صَفْق,صَفَق-ِ,صَفَّق,صَفَق
سامر	مار,مار-ِ,سامَر,أَمَرّ,مَرّ,أَمار,سامِر,أَمَر
سالوني	أَلْوَى,لَوِي-َ,سال-ِ,لَوَّن,لَوَى-ِ,لَوَّى
سالونا	أَلْوَى,لَوِي-َ,سال-ِ,لَوَّن,لَوَى-ِ,لَوَّى
سالهما	سال-ِ,وَلِي-ِ
سالنها	أَلان
سالناه	NOTFOUND
سالناك	NOTFOUND
سالمتم	سالَم
سالفتي	سالِف
سالتهم	ٱِلْتَهَم,سال-ِ,لَتّ
سالتنا	سال-ِ,لَتّ
سالتموه	NOTFOUND
سالاه	سال-ِ,لاهَى
ساكني	وَكَى-ِ,كَنَى-ِ,كَنَّى,ساكِن,ساك
ساكنهم	كَنَى-ِ,كَنا,كَنَّى,كَنّ-ِ,كان,ساكَن,ساكِن,أَكَنّ
ساكن	كَنا,كَنَى-ِ,كَنَّى,كَنّ-ِ,كان,ساكَن,ساكِن,أَكَنّ
ساكتب	أَكْتَب,كَتَب
ساقيهم	ساقِي,ساق,وَقَى-ِ
ساقهما	ساق,وَقَى-ِ
ساقسم	أَقْسَم,قَسَم-ِ,قَسَّم
ساقتل	قَتَّل,قَتَل
ساقاه	ساقَى,ساق
سافرها	فَرَّى,سافِر,أَفْرَى,أَفَرّ,فَرَى-ِ,فار,سافَر,فَرّ-ِ,أَفار
سافره	فَرَّى,سافِر,أَفْرَى,أَفَرّ,فَرَى-ِ,فار,سافَر,فَرّ-ِ,أَفار
سافرا	سافِر,سافَر
ساغدو	غَدا
ساعي	عَيِي-َ,ساعِي,وَعَى-ِ,أَعْيَى
ساعطيك	أَعْطَى
ساعديه	عَدَّى,أَعْدَى,ساعَد,ساعِد
ساعدا	ساعَد,ساعِد
ساعتك	ساعَة,عَتا,عَتَك-ِ
ساعتئذ	ساعَتَئِذٍ
ساطعا	ساطِع
ساصفه	صَفا,صَفَّى,أَصْفَى,صَفّ,وَصَف-ِ
سازيده	زاد-ِ,زَيَّد,أَزاد
ساري	وَرَى-ِ,رَأَى-َ,سارِي,سارّ
سارت	رَتا,رَتَّى,سار-ِ,سارّ
ساراه	رَأَى-َ,سار-ِ,سارّ
سادلكن	دَلّ,دال,أَدْلَى,دَلَّى,أَدال
سادلا	NOTFOUND
سادسة	دَسّ,داس,سادِس,دَسَّى
سادة	سَيِّد,دَهِي-َ,ساد,دَهَى-َ,دَهَّى,سادَة,سادّ,وَدَى-ِ
ساد	ساد,سادّ,وَدَى-ِ
ساخت	ساخ,ساخ-ِ
ساخبرك	أَخْبَر,خَبُر,خَبَر,خَبَّر
ساح	ساح-ِ,ساح,وَحَى-ِ
ساج	ساجِي,ساج
ساتلو	تَلَوَّى,تَلا
سابور	بَوَّر,بار
سابلغهم	بَلَغ,بَلَّغ,أَبْلَغ
سابقون	سابِق
